Subjects,Ects
NCO-02-05, 6
NNA-06-01, 7
NCO-01-01, 5
NCO-01-05, 9
NCO-01-04, 7
NCO-02-02, 5
NNA-06-02, 5
NCO-01-03, 5
NCO-01-02, 4
NNA-07-02, 5
NCO-02-04, 7
NCO-02-01, 5
NNA-07-01, 5
NNA-07-03, 5
NCO-02-03, 7
NNA-07-04, 5
NCO-03-01, 7
NNA-07-08, 5
NIS-06-07, 5
NCO-03-05, 5
NCO-04-01, 7
NCO-03-04, 8
NCO-04-05, 5
NCO-05-01, 7
NCO-04-03, 7
NCO-05-05, 5
NET-06-01, 5
NNA-08-03, 5
NCO-04-04, 5.5
NCO-05-02, 6
NIS-06-01, 5
NCO-05-04, 5
NET-06-02, 5
NNA-07-05, 5
NNA-07-06, 5
NIS-06-02, 5
NIS-06-03, 5
NET-07-01, 5
NET-07-02, 5
NET-07-03, 5
NCO-03-03, 5
NIS-06-05, 5
NCO-04-02, 5.5
NIS-06-04, 5
NGE-06-01, 5
NGE-06-02, 5
NDM-06-02, 5
NDM-06-01, 5
NGE-06-03, 5
NIS-07-04, 5
NET-06-03, 5
NET-08-01, 5
NIS-07-01, 5
NIS-06-06, 5
NIS-07-02, 5
NET-08-02, 5
NDM-07-02, 5
NDM-07-01, 5
NGE-07-01, 5
NIS-07-06, 5
NDM-08-02, 5
NCO-05-03, 7
NDM-07-04, 5
NIS-07-03, 5
NDM-08-03, 5
NIS-08-01, 5
NIS-08-02, 5
NGE-07-03, 5
NGE-06-05, 2
NIS-07-05, 5
NGE-06-04, 2
NIS-08-04, 5
NGE-08-03, 2
NIS-07-08, 5
NNA-08-05, 5
NDM-07-05, 5
NDM-06-04, 5
NIS-07-07, 5
NNA-08-04, 5
NCO-03-02, 5
NDM-08-01, 5
NGE-07-02, 5
NNA-06-04, 5
NGE-08-01, 5
NNA-06-05, 5
NIS-08-03, 5
NNA-07-09, 5
NGE-08-02, 5
NNA-06-06, 5
